target_pos_real,target_pos_sim,pos_sim
1024,3.948807716369629e-05,7.901913061625362e-08
1025,0.000986635684967041,1.4692198789272e-05
1027,0.0031943321228027344,0.0001859815170844706
1030,0.006657034158706665,0.0008206316242511209
1035,0.011365950107574463,0.0022640135163200814
1041,0.017309188842773438,0.004786510474060924
1049,0.02447172999382019,0.00854978282666649
1057,0.032835543155670166,0.013625091031103384
1067,0.042379409074783325,0.020029993446194525
1078,0.0530792772769928,0.027764438455202704
1090,0.06490811705589294,0.036846320601717775
1103,0.0778360366821289,0.04716779857698807
1118,0.09183037281036377,0.05859258099748972
1133,0.10685577988624573,0.07103948864190383
1149,0.12287431955337524,0.084591249697697
1167,0.13984549045562744,0.09996137408215769
1185,0.1577264368534088,0.11667526196980546
1204,0.176472008228302,0.13377212861169957
1224,0.19603484869003296,0.15075085987441017
1245,0.2163655161857605,0.16816379044736604
1267,0.237412691116333,0.1866821971065682
1289,0.25912314653396606,0.20588166897193644
1312,0.2814421057701111,0.22538741259851205
1335,0.30431318283081055,0.24490660257429533
1359,0.32767853140830994,0.26433210509207733
1383,0.3514792025089264,0.28670523222649374
1408,0.37565505504608154,0.3110196610599987
1433,0.4001449942588806,0.33603259978793965
1459,0.42488721013069153,0.36102723025332195
1484,0.4498191475868225,0.38576794665209735
1510,0.47487783432006836,0.4102918308653068
1536,0.5,0.43472489590942975
1561,0.5251221656799316,0.45917554883819145
1587,0.5501808524131775,0.4836947038452215
1612,0.5751128196716309,0.5082758623104947
1638,0.5998550057411194,0.5328719320670421
1663,0.6243449449539185,0.557414159307495
1688,0.648520827293396,0.5818265897150664
1712,0.6723214387893677,0.6060344330982278
1736,0.6956868171691895,0.6299674668480588
1759,0.7185578942298889,0.6535604814840836
1782,0.7408768534660339,0.6767523332698062
1804,0.762587308883667,0.6994846857216003
1826,0.7836344838142395,0.7217010425913335
1847,0.803965151309967,0.7433462269448898
1867,0.823527991771698,0.764366206981874
1886,0.8422735929489136,0.7847081710802929
1904,0.8601545095443726,0.8043207282776356
1922,0.8771256804466248,0.8231541163173648
1938,0.8931442499160767,0.84116043109535
1953,0.9081696271896362,0.8582938194341339
1968,0.9221639633178711,0.8745105934678514
1981,0.9350918531417847,0.8897693669348614
1993,0.9469207525253296,0.9040311689702852
2004,0.9576206207275391,0.9172595539550398
2014,0.9671644568443298,0.9294206689800066
2022,0.9755282402038574,0.9404833351513573
2030,0.9826908111572266,0.9504191647110216
2036,0.9886340498924255,0.9592026363653874
2041,0.9933429956436157,0.9668111501073328
2044,0.9968056678771973,0.9732250997692328
2046,0.999013364315033,0.9784279185338268
2047,0.9999605417251587,0.9824061310449952
2047,0.9996447563171387,0.9851494089312745
2046,0.998066782951355,0.9866505900927316
2043,0.9952306747436523,0.9870249867470853
2038,0.9911435842514038,0.986462045115677
2033,0.9858158826828003,0.9846891518558067
2026,0.9792609214782715,0.9815618443085848
2018,0.9714952707290649,0.9770576815481241
2009,0.9625385999679565,0.9712166619663921
1999,0.9524135589599609,0.9640992376982355
1987,0.9411455988883972,0.9557635762974361
1975,0.9287633299827576,0.9462573495110044
1961,0.9152979850769043,0.9356180413127207
1946,0.9007834792137146,0.9238767393701365
1930,0.8852566480636597,0.9110622887578269
1913,0.8687565326690674,0.8972044755576382
1895,0.8513249754905701,0.8823358093467737
1876,0.8330059051513672,0.8664922246478566
1857,0.813845694065094,0.8497130718237567
1836,0.7938926219940186,0.8320407849501291
1815,0.7731971740722656,0.8135204548866476
1793,0.7518116235733032,0.7941994690452427
1771,0.7297899127006531,0.7741272432530207
1748,0.7071877717971802,0.7533549999391929
1724,0.6840622425079346,0.7319356331475744
1700,0.6604717969894409,0.7099235817350678
1675,0.6364759802818298,0.6873747068734175
1650,0.6121354103088379,0.6643461594547038
1625,0.5875115394592285,0.6408962400240495
1600,0.5626665949821472,0.6170842555092065
1574,0.5376634001731873,0.5929703786197167
1548,0.5125650763511658,0.5686155123588348
1523,0.4874349534511566,0.5440811264418949
1497,0.46233659982681274,0.5194290808536302
1471,0.4373333752155304,0.49472149000192367
1446,0.4124884605407715,0.47002057355880095
1421,0.3878646194934845,0.4453885002615497
1396,0.36352401971817017,0.42088723872483536
1371,0.3395282030105591,0.3965783990299089
1347,0.31593772768974304,0.37252309220323876
1323,0.2928122282028198,0.3487817765716028
1300,0.2702100872993469,0.32541411367451684
1278,0.24818840622901917,0.30247882332853826
1256,0.22680282592773438,0.28003353933674047
1235,0.20610737800598145,0.2581346749114722
1214,0.186154305934906,0.23683728695596212
1195,0.16699406504631042,0.2161949330928171
1176,0.14867502450942993,0.19625954678101562
1158,0.13124343752861023,0.17708130686867274
1141,0.11474338173866272,0.1587085036357123
1125,0.0992165207862854,0.1411874280698816
1110,0.08470204472541809,0.12456225605074994
1096,0.07123667001724243,0.1088749261775959
